Job title,Business Group,Job location,Country of work,Job category,Responsibilities,Link to where the specific job is posted.
TEG07-高级视觉设计师,TEG,深圳,中国,设计,"主要服务公司级toB、toG类业务的体验设计工作； 
参与设计体验、流程的制定和规范； 
参与整个设计过程中的评审，负责视觉还原走查，监督产品视觉的实现质量；
关注用户反馈与沟通，通过分析结果持续优化设计； 
参与分享设计经验，提高团队的设计能力；",http://careers.tencent.com/jobdesc.html?postId=1283336797299941376
36811-产品体验设计师,PCG,北京,中国,设计,"1、负责信息流产品的体验设计工作；
2、参与产品优化方案的制定、并提炼出明确的用户目标、设计目标，完善产品体验。
3、协同内外部团队进行产品体验创新与创意发散并能灵活提供设计解决方案； 
4、提炼负责模块设计方法论及准则，沉淀设计资产提升团队影响力；",http://careers.tencent.com/jobdesc.html?postId=1369192516645036032
26563-高级技术美术（美术向）,IEG,深圳,中国,设计,"1、研究游戏项目中美术内容制作的各项工具使用；
2、研究游戏引擎，帮助美术人员使用引擎和工具；
3、开发和维护美术工具的各种插件；
4、为创建和优化美术资源开发的流程和规范提供技术性支持；
5、协助美术人员和程序人员优化游戏运行效率。",http://careers.tencent.com/jobdesc.html?postId=0
40164-NXS 资深动画分镜导演,IEG,上海,中国,设计,"独立设计绘制完成符合动画需要的分镜故事版，作为指导下一步中期制作的依据；
负责游戏内cutscene和角色表演分镜；
负责游戏PV宣传片分镜设计及整体把控。
",http://careers.tencent.com/jobdesc.html?postId=1422498017910464512
40164-NXS 3D主美术,IEG,上海,中国,设计,"能结合2D和3D美术，为项目制定明确的美术方向以及开发流程；
能够与美术，技术美术，程序，策划等核心团队密切协作，共同设计并打造游戏所需美术资源；
负责美术产出的质量把控，并能与技术团队一起对性能优化做出严格把控和执行；
负责美术团队的搭建和管理。
",http://careers.tencent.com/jobdesc.html?postId=1419667480019738624
40164-NXS 3D动画负责人,IEG,上海,中国,设计,"带领团队，产出角色及物件动画制作；
配合策划、运营、模型、原画和特效等环节协同完成动画整体工作；
负责团队组建及动画外包管理
",http://careers.tencent.com/jobdesc.html?postId=1419667481131229184
18302-全球知名IP新手游-UE4高级3D特效师 （北京/深圳）,IEG,北京,中国,设计,"负责场景，角色，怪物，道具，UI UE4引擎内的特效制作；
负责游戏中的特效品质的审核修改及外包团队的培养；
负责梳理特效模块制作流程，优化和提升特效团队的制作效率。",http://careers.tencent.com/jobdesc.html?postId=1404739200498016256
18302-全球知名IP新手游-高级动画设计师（北京/深圳）,IEG,北京,中国,设计,"根据角色设计，结合玩法，制定主角和怪物动画表现风格；
负责高品质的角色技能设计，怪物技能设计，建立品质标准；
参与gameplay设计，负责与策划联调手感;
制定动画标准，负责外包输出品质把控。
",http://careers.tencent.com/jobdesc.html?postId=1394802723563511808
18302-全球知名IP新手游--高级3D场景设计师（北京/深圳）,IEG,北京,中国,设计,1.负责游戏场景关卡地图的编辑制作；2. 负责与其对应的关卡内3D模型类资源的品质把控；3.负责最终输出到版本里的品质把控，协同程序和TA，负责引擎中关卡的技术研究及性能优化。,http://careers.tencent.com/jobdesc.html?postId=1380063605034065920
18302-全球知名IP新手游-高级3D角色模型师（北京/深圳）,IEG,北京,中国,设计,"负责游戏中的三维角色模型，怪物模型，贴图制作;
负责外包资源的审核修改及外包团队的培养;
与概念艺术家创作合作并保证游戏内3D还原原画设计效果;
负责角色在引擎内的生产标准和规范。",http://careers.tencent.com/jobdesc.html?postId=1369474913643012096
