Job title,Business Group,Job location,Country of work,Job category,Responsibilities,Link to where the specific job is posted.
WXG02-微信支付高级DBA（深圳）,WXG,深圳,中国,技术,"负责微信支付下商业支付和社交支付各业务的数据库运维工作；
负责数据库的日常运维、数据安全、性能优化、故障处理及前沿技术研究；
负责数据库自动化运维工具和平台建设；
负责大数据系统的日常运维、数据安全、数据治理等工作；",http://careers.tencent.com/jobdesc.html?postId=1369278389399068672
WXG02-微信终端质量平台开发工程师(广州/深圳),WXG,广州,中国,技术,"1、面向微信终端的大规模质量数据，如Crash、卡顿、耗时等，搭建质量运营分析平台。
2、设计和实现灵活可扩展、稳定、高性能的OLAP系统，为海量数据的查询、（堆栈数据）解析、统计、报警提供可靠的基础设施。
3、思考业务对运营平台的诉求，进行平台的优化、创新，提升业务质量和效率。
",http://careers.tencent.com/jobdesc.html?postId=1364924019760963584
WXG12-微信运营平台系统开发工程师（广州）,WXG,广州,中国,技术,"负责微信内部大型运营平台系统的后台开发和维护；
负责微信内部大数据分析相关系统的后台开发和维护；
参与微信内部各种后台系统的需求分析、设计、编码等开发工作。
",http://careers.tencent.com/jobdesc.html?postId=1364923253528731648
WXG02-微信终端测试开发工程师（北京）,WXG,北京,中国,技术,负责测试秒剪App，开发测试工具； 设计具有高扩展性、强可靠性、高性能的测试框架； 优化软件开发周期，提升研发效能，推动内建的产品质量； 测试方法/工具的创新。,http://careers.tencent.com/jobdesc.html?postId=1384911094799147008
WXG02-微信监控平台开发工程师（广州）,WXG,广州,中国,技术,"负责微信运营监控系统的开发、维护，包括：
1、负责监控日志收集、日志处理、数据存储平台的开发、维护。
2、负责监控算法、监控告警平台的开发、维护。
3、负责监控数据展示、故障处理等前端页面的开发、维护。",http://careers.tencent.com/jobdesc.html?postId=1380483124315561984
WXG02-微信计算机视觉高级算法工程师（视频号）（北京）,WXG,北京,中国,技术,负责微信视频拍摄和剪辑方向相关的计算机视觉的算法研发，以及在视频号、朋友圈、直播等具体业务场景的落地。,http://careers.tencent.com/jobdesc.html?postId=1374196578339790848
WXG02-微信计算机视觉高级算法工程师（视频号）（深圳）,WXG,深圳,中国,技术,负责微信视频拍摄和剪辑方向相关的计算机视觉的算法研发，以及在视频号、朋友圈、直播等具体业务场景的落地。,http://careers.tencent.com/jobdesc.html?postId=1374196576519462912
WXG12-微信应用运维安全工程师（广州）,WXG,广州,中国,技术,"对线上业务进行安全风险评估、安全测试。
负责安全事件应急响应，分析跟踪事件，定位问题并制定解决方案。
推动系统安全问题的解决方案及落地工作。
进行数据生命周期安全建设，梳理安全风险及推进治理",http://careers.tencent.com/jobdesc.html?postId=1369996919912275968
WXG02-微信视频号测试开发工程师（广州）,WXG,广州,中国,技术,负责测试微信视频号，开发测试工具； 设计具有高扩展性、强可靠性、高性能的测试框架； 优化软件开发周期，提升研发效能，推动内建的产品质量； 测试方法/工具的创新。,http://careers.tencent.com/jobdesc.html?postId=1351455797611077632
23671-企鹅号算法后台工程师（深圳）,PCG,深圳,中国,技术,"1、 主要负责内容理解相关算法的上线部署, 包括对一些主流算法框架的支持；
2、 主要负责内容理解整体算法后台的架构，算法性能优化等。",http://careers.tencent.com/jobdesc.html?postId=1337595282593947648
