word,count
三者,1
上报,8
上架,3
上级领导,2
上线,22
下沉,1
下达,4
专业,15
专员,3
专家,1
专属,2
专注,2
专访,2
专长,2
专项,6
专题,3
业务,238
业务人员,2
业务流程,7
业务管理,8
业务部门,5
业态,2
业绩,25
个人成长,2
中层,1
主场,4
主播,3
主管部门,3
举措,1
乐于,1
乘车,1
买量,9
了解,34
争取,3
事件,3
事务,3
事宜,3
事项,2
云物,2
互动性,2
互娱,4
互联网,88
互选,2
交互,1
交付,15
交流,1
交通,7
产业,13
产业基地,2
产业链,3
产出,59
产品,283
产品化,2
产品库,5
产品线,8
产品质量,3
产生,2
产研,3
产线,4
亮点,6
人员,5
人工智能,2
人际,2
从业,2
从业者,1
付费,1
代理,10
代理商,5
代驾,1
价值,13
价值观,2
价格体系,1
任务,27
任职,4
企业,57
企业动态,2
企业形象,2
企业级,1
企业邮箱,2
企划,2
企点,18
优先,20
优势,4
优化,112
优质,8
优量,1
伙伴,38
会展,3
会签,2
会议,11
传媒,3
传播,92
传播效应,2
传统,3
传达,35
传递,2
体系,49
体系化,4
体育,4
体育项目,2
体验,40
作者,1
使命,2
使用,2
使用率,2
使用量,2
例会,1
供应商,19
供货商,2
依托,2
侧重点,2
促成,6
促活,1
促进,18
促销,7
保持一致,4
保持良好,2
保证,3
保质,2
保险机构,2
保险行业,2
保障,3
信息,10
信息库,2
信息流,7
信息管理,2
信用,2
俱乐部,7
借以,8
借助,2
倾听,1
倾斜,2
做好,10
储备,3
催收,8
光子,13
全员,2
全国,10
全域,4
全案,1
全民,5
全球,16
全球网,2
全程,10
全线产品,12
全职,3
全过程,3
全链,2
公交,1
公众,2
公会,3
公共关系,1
公关,81
公关部,3
公司,55
公益,2
公线,4
共享,2
共创,12
共性,3
共研,6
共识,4
共鸣,1
关注,2
关注度,6
关系,21
关键,4
关键性,3
关键环节,6
关键问题,1
关闭,8
兴趣,2
具备,19
具有,5
兼备,2
内容,84
写作,2
写手,2
农林,7
决策,19
决策分析,2
决策层,2
准入,1
准出,1
凝练,2
出与,2
出发,1
出差,6
出海,6
出版社,2
出行,2
函告,8
分享,4
分包,2
分区,2
分发,13
分层,2
分析,54
分解,2
分配,2
分销,3
切入,2
创作,5
创作者,5
创始人,2
创建,4
创意,117
创意设计,2
创新,15
创新性,1
创造力,1
创造性,2
判断,3
利用,4
利益,2
制作,8
制定,247
制定方案,2
制订,3
制造,8
券商,2
前台,4
前沿技术,2
前瞻,2
前瞻性,12
前线,2
前置,1
办法,2
功能,4
加分,1
加大,2
加购,2
加速器,2
动向,5
动态,41
动漫,6
动漫画,2
助力,31
助销,3
包括,36
包装,40
包车,1
化工行业,3
匹配,18
区域,136
区域化,1
区域合作,10
医学,2
医生,1
医疗,13
医疗机构,2
医药,3
医药行业,5
医院,2
升级,1
华语音乐,2
协作,45
协助,35
协同,57
协同工作,3
协议,7
协调,27
单元,1
单兵作战,2
单品,1
卖点,5
占据,1
占有率,7
占领,1
卫健委,2
危机,8
厂商,5
厂牌,3
厅局,5
参与,13
参与性,1
参与方,1
参会,2
参考,3
双向,1
反哺,13
反馈,26
发型,2
发声,2
发展,35
发展部,2
发布,2
发布会,3
发想,3
发挥,5
发掘,19
发行,13
发起,7
受众,2
变化,4
变更,2
变现,3
变迁,3
变革,24
口径,2
口碑,32
召回,2
可玩性,2
可行,1
可行性,6
可视化,4
台网,2
合作,178
合作伙伴,268
合作方,10
合作部,1
合作项目,26
合力,7
合同条款,3
合理,9
合理化,3
合理性,1
合研,4
同事,10
同类产品,1
名人,1
后台,11
后续,9
含括,2
呈现,18
员工,4
周期性,5
周边产品,2
咨询,1
品效,1
品牌,120
品牌价值,3
品牌优势,1
品牌化,1
品牌形象,16
品牌战略,3
品牌策略,29
品类,30
品质,2
响应,6
售前,12
售卖,18
唱片,2
商业,19
商业化,38
商业地产,8
商业模式,33
商务,139
商务谈判,10
商品生产,2
商店,3
商户,7
商机,51
善于,5
善用,1
喜爱,2
器械,2
回款,16
回流,4
团队,105
团队精神,6
围绕,10
国际,3
图库,3
图文,14
图景,1
图谱,3
圈层,27
在线视频,2
地产,1
地区,2
地域,2
地将,2
地点,1
地缘,4
地缘文化,4
地铁,5
场景,75
坏帐,2
垂直,1
垂类,1
型业务,1
城轨,5
培养,4
培育,7
培训,8
基本知识,2
基金,1
塑造,1
增值,2
增购,2
增进,5
增速,1
增长,9
声优,2
声量,5
处理,4
复制,40
复盘,17
复购,2
外团,4
外界,2
外访,8
多用户,1
大众,8
大会,2
大区,10
大型项目,5
大陆,2
头部,36
契合,2
契机,6
奖项,1
套餐,2
奢侈品,7
妥善处理,1
委会,2
娱乐,12
媒介,38
媒体,54
嫁接,1
存量,12
学习,7
学员,4
学术研究,2
学者,2
学院,2
孵化,7
守护,2
安排,2
完善,2
完成,49
宏观经济,1
官方,14
官网,3
定位,22
定位问题,6
定制,5
定性,1
定期,72
定期检查,2
定量,1
实战,1
实战经验,2
实操,2
实施,8
实现,8
实际,7
实验设计,2
客情,8
客户,280
客户关系,45
客户名单,1
客户服务,11
客户档案,35
客户经理,6
客户群,5
客户资源,11
客服,5
客群,2
客诉,1
宣传,9
宣传片,2
宣发,15
宣导,2
宣推,1
宣讲,2
家居,2
家电行业,2
对口,2
对应,11
对接,62
寻找,18
寻求,4
导向,42
导线,1
导购,2
射击,5
层级,6
层面,14
展会,1
展开,3
展现,3
展示,4
属性,5
履约,8
履行,2
岗位,13
岗位职责,13
峰会,1
工业,6
工作,128
工作室,21
工具,1
工具包,1
巩固,1
市场,65
市场动态,17
市场占有率,8
市场推广,36
市场策划,6
市场策略,115
市场营销,25
市场调研,7
市场趋势,6
市场运作,2
市场部,2
市场需求,15
布局,8
帐号,2
带领,8
帮助,14
常态,2
平台,53
平面,7
年度,6
年轻人,2
广告,68
广告业务,5
广告主,3
广告商,2
广告媒体,2
广告行业,4
应变,1
应对,6
应收,10
应用,22
底层,1
建模,2
建立,25
建联,1
建议,9
建设,20
建设性,1
开发,34
开发者,2
开展,19
