word,count
A股,2
一体,6
一流,6
一物,2
一致性,16
万象,2
上为,4
上化,1
上手,1
上报,25
上有,2
上线,87
上限,8
下买,2
下发,2
下新,2
下沉,2
下流,2
下能,2
下落,2
下载,2
下述,2
下高,4
不合理,10
专业,30
专业性,14
专业本科,3
专业知识,4
专利,6
专利申请,5
专区,2
专员,4
专家,6
专注,3
专用,10
专研,4
专线,3
专线接入,2
专项,114
专题,15
世界,12
业余,4
业务,1263
业务流程,55
业务知识,2
业务管理,5
业务部门,7
业安,2
业界,255
业绩,2
两地,2
个人,2
个人用户,1
个性化,44
中台,10
中心,38
中间件,37
为主,3
主产品,2
主人翁,1
主体,1
主客观,2
主导产品,2
主播,5
主端,4
主线,1
主观,2
主责,1
主题,3
举证,2
乐于,6
乐享,2
乘车,9
习惯,2
书籍,2
书面,9
买量,4
了解,14
予以,3
争取,13
争议,2
事业,23
事件,13
事务,19
事务性,2
事故,6
二维码,6
二进制,2
二阶,1
云化,2
云块,15
云官,5
云工,2
云梯,2
云游,1
云物,2
云端,21
云管,5
云线,2
互娱,1
互联,4
互联网,66
互联网服务,1
互联网络,1
互选,1
交互,89
交付,281
交付给,2
交换,2
交换机,2
交易,24
交易平台,1
交易系统,25
交易量,2
交流,9
交通,30
交通卡,2
产业,10
产业界,1
产业链,1
产出,23
产品,1171
产品化,33
产品品质,2
产品安全,6
产品策划,7
产品线,44
产品规格,2
产品设计,48
产品质量,103
产品部,4
产物,2
产生,4
产研,14
产线,1
产能,2
享用,2
亮点,7
人为,4
人事,1
人人,2
人体,4
人力,4
人力资源,2
人口统计,2
人员,47
人员培训,2
人工,3
人工智能,21
人才,6
人效,2
人机,2
人机交互,6
人流,2
人群,4
人脉,1
人脸,13
人脸识别,8
介质,2
从业,4
从事,21
仓库,5
付款,1
付费,5
付钱,2
代理,3
代码,259
代码优化,11
代码生成,4
代言人,2
价值,24
任务,40
任务调度,8
任意,4
仿真技术,2
企业,121
企业级,33
企业邮箱,12
企点,37
企鹅,30
众包,1
优先,67
优化,2369
优和容,1
优图,1
优惠券,4
优缺点,1
优者,2
优调,6
优质,33
优选,6
优量,2
伙伴,6
会务,2
会员,2
会议,131
会议纪要,2
会议记录,2
传动,6
传媒,2
传感器,13
传播,3
传统,3
传输,47
传输层,1
传输技术,2
传输流,1
伪造检测,4
估计,4
伴侣,2
伴随,1
伸缩,7
位置服务,10
低功耗,2
低码,8
低能耗,2
低质,4
低质量,2
体化,2
体系,343
体系化,30
体系结构,8
体育,4
体量,2
体验,471
作业,9
作为,2
作弊,9
作恶,2
作文,2
作案,4
作者,2
使命,5
使用,39
使用率,6
使用者,2
例如,12
例行,3
供应,13
供应商,6
供应链,8
供电,1
供给,6
供需,7
依托,2
依赖,3
侧重,1
侧重于,2
便于,4
促成,1
促活,5
促进,14
保护,7
保持,11
保持良好,1
保时,12
保租,1
保证,52
保证数据,6
保证系统,32
保证质量,4
保证金,1
保质,12
保质保量,1
保险箱,6
保障,247
保障体系,13
保障机制,1
保障系统,30
保障线,3
信云,2
信任,7
信创,4
信号,3
信号处理,1
信域,2
信息,22
信息化,1
信息处理,5
信息检索,2
信息流,53
信用,1
信用卡,11
信豆,1
信贷,1
信贷业务,1
信贷风险,1
信通,4
信风,2
修复,37
修改,14
倍率,1
候选,2
候选人,2
借助,2
借鉴,2
倡导,2
倾斜,2
假设检验,2
做出,9
做到,2
做好,11
停车,2
健壮性,13
健康检查,2
偶像,3
储备,4
催收,1
元器件,2
元素,4
充值,4
充分利用,2
先游,6
先游云,2
先进性,16
光层,3
光影,2
光照,17
光线,3
免押,3
入侵,4
入库,9
入驻,1
全员,4
全国,1
全局,21
全景,4
全栈,13
全民,38
全球,11
全球化,3
全科,2
全程,4
全端,5
全网,2
全资,124
全过程,8
全量,6
全面,11
公交,5
公众,39
公共服务,5
公司,45
公安,8
公平合理,1
公用,9
公益,4
共享,4
共创,5
共建,18
共性,8
关卡,25
关注,7
关注点,2
关系,10
关系数据,2
关节,2
关键,42
关键性,1
关键技术,39
关键点,6
关键环节,2
关键词,15
关键部件,1
关键问题,11
兴趣,31
具体内容,1
具备,53
具有,31
典型,3
兼容,8
兼顾,24
内存,43
内容,275
内嵌,5
内所,1
内核,83
内核模块,1
写作,2
写实,1
决策,103
决策制定,13
决策层,1
决策者,1
净化,9
准入,3
准确度,2
准确性,29
准确率,5
减低,2
减少,5
凝聚,4
凝聚力,9
凭证,4
出云,2
出价,4
出发,2
出对,2
出更,2
出海,4
出现,2
出色,3
出行,13
函数,10
分享,24
分割,11
分发,55
分子,2
分层,8
分工,3
分工协作,2
分布式,187
分布式服务,1
分布式计算,17
分库,2
分析,594
分析攻击,2
分析方法,14
分析模型,6
分段,2
分流,2
分离,17
分类,42
分级,5
分群,4
分行业,5
分表,2
分解,19
分词,7
分账,4
分配,6
切入点,3
切割,2
切换,5
切片,2
切词,5
刊物,4
划分,1
列表,1
刚体,10
创作,16
创作者,22
创建,2
创意,17
创意设计,1
创新,145
创新型,4
创新性,23
创新能力,2
创越,1
创造,2
初始,2
判异,3
利用,24
利用率,25
到达,2
制作,111
制定,302
制度,4
制播,2
制片,1
制版,1
制订,9
制造,2
刷卡,1
刷新,2
刷量,1
刻画,4
前台,17
前提,2
前沿技术,227
前瞻,19
前瞻性,40
前言,7
剧本,1
剧组,1
剪辑,7
副歌,2
力学,2
办公,23
功底,5
功耗,14
功能,483
功能性,15
功能模块,89
功能测试,14
加入,6
加固,16
加工,3
加强,2
加载,8
加速,29
加速器,2
劣势,2
动作,16
动作游戏,15
动力,2
动力学,2
动向,3
动态,49
动态化,14
动手,2
动捕,4
动效,6
动漫,3
动画,101
动画师,14
动线,8
助力,64
助手,26
助教,2
助理,1
勇于,9
勾兑,1
包体,2
包含,26
包括,383
包活,4
化及,3
北极星,6
匹配,33
区块,8
区域,2
医典,5
医学影像,4
医生,4
医疗,27
医药,18
升级,75
半导体,1
协作,117
协助,136
协同,114
协同工作,9
协商,2
协议,36
协调,29
单位,7
单元,7
单元测试,34
单细胞,2
博弈论,3
卡包,1
卡点,2
即视,2
卷积,1
卸载,8
厂商,12
压制,1
压力,2
压榨,2
压测,9
压缩,3
压缩工具,3
压缩率,4
原型,22
原始,2
原子,2
原理,15
原理图,5
原生,99
参与,705
参加,2
参数,10
参考,10
参考模型,2
友商,5
双端,2
双重,2
反向,3
反垃圾,17
反射,6
反思,2
反推,2
反洗钱,2
反编译,2
反馈,94
发展,28
发展部,7
发布,28
发开,2
发挥,2
发掘,17
发散,2
发文,1
发烧友,2
发现,22
发行,3
发行版,4
发表,8
取图,2
取数,2
取证,2
受欢迎,2
变化,4
变幻,2
变得,2
变更,27
变现,34
变量,2
变革,7
叠加,2
口头,9
口径,1
口碑,12
口语,4
另类,2
召回,90
可信,1
可回,2
可复,2
可扩展性,12
可控,2
可测性,18
可用,95
可用性,161
可疑,2
可维护性,8
可能,6
可行,6
可行性,74
可行性研究,11
可见光,1
可视,2
可视化,57
可运,3
可靠,103
可靠性,83
台子,3
台鉴,2
右移,1
各部委,3
合作,94
合作伙伴,43
合作方,4
合作项目,2
合并,1
合成,16
合批,4
合理,28
合理化,2
合理合法,2
合理性,40
合约,2
合规,43
同义,2
同义词,2
同事,34
同学,23
同歌,2
名字,6
名称,2
后台,803
后台程序,2
后处理,10
后端,15
后续,12
向量,13
吞吐,6
听书,12
听歌,2
吸收,5
呈现,6
告警,42
员工,16
周转率,2
命令,2
命名,5
咨询,7
咨询服务,1
品牌,4
品类,9
品质,63
响应,59
响应速度,5
哼唱,4
唇形,1
唤醒,5
售前,15
售卖,4
售后,18
商业,25
商业化,52
商业广告,3
商业模式,6
商业版,2
商务,1
商品,11
商家,10
商户,55
商机,2
商用,2
啸叫,2
善于,16
喜好,4
器件,2
噪声,4
噪音,2
回声,5
回归,2
回报,1
回收,2
回放,2
回档,1
回测,2
回溯,1
因子,2
因果关系,4
因果性,3
团伙,24
团队,807
园区,2
围绕,9
固件,2
国家,3
国家标准,2
国密,1
国民,10
国际,5
国际版,8
图像,59
图像增强,2
图像处理,14
图形,71
图形图像,5
图形学,20
图形库,2
图形核心,1
图文,19
图文混排,2
图片,18
图谱,49
圈层,1
在实践中,2
在线视频,13
地产,2
地区,1
地图,98
地址,6
地形,6
地物,1
地理,1
地理位置,2
地缘,2
地铁,2
地面,2
场景,557
坐席,1
垂直,12
垂类,12
垃圾,2
型业务,1
城容,2
域名,10
培养,23
培育,2
培训,22
基准,4
基因组,2
基带,2
基本,1
基本功,1
基本原理,4
基础,266
基础架构,50
基础理论,1
基础知识,10
基础设施,88
基线,1
基金,5
堆栈,2
填充,2
增值,8
增强,17
增改,10
增材,2
增量,1
增长,80
增长点,18
增长速度,5
壁垒,2
声学,12
声源,1
声纹,3
声纹识别,2
处处,2
处理,183
处理事务,13
处理器,3
处置,6
备份,6
备案,4
备注,4
复杂度,7
复现,2
复用,29
复盘,2
复购,2
外包,6
外币,4
外挂,5
外汇,2
外汇业务,4
外汇交易,1
外网,8
外设,2
外语,2
外链,2
多任务,8
多元化,4
多媒体,30
多媒体技术,4
多用户,3
多语种,6
多路径,4
大厅,2
大型项目,22
大容量,3
大局观,1
大师,2
大方向,2
大盘,3
大胆,1
大脑,4
大量,5
天气,3
夯实,3
头部,4
套件,5
好友,2
好学,4
姿态,3
威胁,18
娱乐,1
媒体,17
媒资,1
子公司,89
子系统,27
字典,3
字幕,1
字节,2
存储介质,1
存储技术,1
存储管理,2
存储系统,53
存储资源,1
存档,1
存款,4
存留,2
存量,3
学习,311
学习态度,1
学堂,2
学术,7
学术前沿,1
学术界,45
学术研究,1
学术论文,2
学界,6
孵化,8
宇宙,6
守护,4
安全漏洞,7
安全策略,31
安心,2
安灯,4
安装,10
完善,132
完备,2
完成,126
完整性,5
宏观,1
官方网站,2
官网,16
定义,43
定价,2
定位,174
定位问题,23
定制,109
定向,22
定开,4
定期,17
定期维护,1
定量,3
实体,12
实例,2
实况,2
实战,6
实施,79
实施方案,2
实时性,7
实现,357
实用,5
实盘,2
实证,2
实践,66
实践经验,34
实车,1
实际,34
实际效果,11
实验,78
实验室,8
实验所,6
实验报告,5
实验设计,11
审判,4
审批,1
审查,5
审核,20
审视,2
审计,10
审计工作,2
审计报告,2
审阅,2
客制,4
客户,242
客户服务,2
客户机,4
客户端,361
客户资源,1
客服,11
客流,2
客群,8
客观,15
宣传,4
宣发,2
宣导,1
宣讲,2
家居,2
容器,112
容灾,57
容量,41
宿主机,24
密切配合,17
密码学,11
密钥,2
富有,2
富融,2
富途,2
察觉,2
对局,4
对应,26
对手,2
对抗,39
