Job title,Business Group,Job location,Country of work,Job category,Responsibilities,Link to where the specific job is posted.
41309-王者荣耀海外版-广告投放经理（深圳）,IEG,深圳,中国,营销与公关,"1. 负责游戏产品的Google/Facebook等平台广告投放，操作广告后台投放及优化，针对不同产品/目标市场制定广告投放策略和计划；
2. 对广告数据进行追踪监测，对渠道及广告素材表现进行数据分析与总结，数据导向优化广告表现，为后续的UA策略提供数据支持；
3. 定期进行产品大盘数据review，以国家/广告平台/时间/素材等维度进行数据分析并输出结论；
4. 定期向素材创意PM同步符合渠道特征广告素材创意需求，并与素材PM沟通配合确保创意完整输出。
",http://careers.tencent.com/jobdesc.html?postId=1435080031607988224
41309-王者荣耀海外版-广告投放经理（上海）,IEG,上海,中国,营销与公关,"1. 负责游戏产品的Google/Facebook等平台广告投放，操作广告后台投放及优化，针对不同产品/目标市场制定广告投放策略和计划；
2. 对广告数据进行追踪监测，对渠道及广告素材表现进行数据分析与总结，数据导向优化广告表现，为后续的UA策略提供数据支持；
3. 定期进行产品大盘数据review，以国家/广告平台/时间/素材等维度进行数据分析并输出结论；
4. 定期向素材创意PM同步符合渠道特征广告素材创意需求，并与素材PM沟通配合确保创意完整输出。
",http://careers.tencent.com/jobdesc.html?postId=1435080032295854080
27216-企业金融高级拓展经理,CDG,深圳,中国,销售、服务与支持,"1) 腾讯企业金融产品的拓展，重点拓展银行与saas软件公司
2) 负责企业金融产品拓展并落地，涵盖账户、支付结算、资金管理、以其他数字化相关的企业金融产品; 
3) 调研行业，探索企业金融领域新的方向，发现新的机会点;
4) 洞察产业互联网与企业金融数字化的变化趋势，推动企业金融产品和服务创新。",http://careers.tencent.com/jobdesc.html?postId=0
41069-腾讯云银行业KA销售 - 北京/广州（北京）,CSIG,北京,中国,销售、服务与支持,"1.负责腾讯云计算服务等相关产品在银行行业的销售和BD工作，包括银行业客户的开发与维护及跟进，达成制定的销售指标；
2.定期拜访银行业客户，积极引导银行客户和挖掘银行客户云需求，制定合理方案，负责方案提示、谈判，协调公司相关部门的资源，保证方案的有效实施；
3.维持与现有银行客户的良好业务关系，及时更新公司产品信息，传达企业及品牌文化；
4.建立银行客户档案，确保各项资料完整，准确，并做好动态管理。",http://careers.tencent.com/jobdesc.html?postId=1424560844359868416
41069-腾讯云银行业KA销售 - 北京/广州（广州）,CSIG,广州,中国,销售、服务与支持,"1.负责腾讯云计算服务等相关产品在银行行业的销售和BD工作，包括银行业客户的开发与维护及跟进，达成制定的销售指标；
2.定期拜访银行业客户，积极引导银行客户和挖掘银行客户云需求，制定合理方案，负责方案提示、谈判，协调公司相关部门的资源，保证方案的有效实施；
3.维持与现有银行客户的良好业务关系，及时更新公司产品信息，传达企业及品牌文化；
4.建立银行客户档案，确保各项资料完整，准确，并做好动态管理。",http://careers.tencent.com/jobdesc.html?postId=1424560842837336064
WXG07-企业邮箱销售支持,WXG,广州,中国,销售、服务与支持,"1、负责提升企业邮箱合作伙伴的销售、服务能力，促进企业邮箱用户增长
2、通过紧密联系合作伙伴，高效协同内部进行产品迭代，提升用户体验
",http://careers.tencent.com/jobdesc.html?postId=1413021699850379264
14914-互娱产业研究组公关经理,CDG,深圳,中国,营销与公关,"负责对口业务风险的内部评估、风险应对处理和效果评估工作，协助进行风险管理体系的建设与完善； 
负责对接媒体关系的维护与拓展，增强与媒体的互相了解，为业务营造良好的对外沟通环境； 
负责对口传播项目的策划与落地执行，并通过协调内外部各类渠道与资源，保证效果达到预期。",http://careers.tencent.com/jobdesc.html?postId=0
41311-海外游戏市场营销（巴西）,IEG,深圳,中国,营销与公关,"1. 负责巴西市场发行工作，探索和把控巴西市场用户游戏习惯，根据运营节点和当地特性，输出本地化整合营销方案；
2. 与运营其他岗位如活动、商业化、社群等模块紧密协作，共同完成运营目标；
3. 配合营销团队，负责产品在区域的市场策略制定、预算管理、市场分析、用户研究、广告创意、媒介投放、公关传播、事件营销等策略和执行工作；
4. 负责产品的合作伙伴及资源拓展，为推广工作效果负责。
",http://careers.tencent.com/jobdesc.html?postId=0
41310-PUBGM 海外创意指导,IEG,深圳,中国,营销与公关,"1. 负责PUBG MOBILE全球市场方案的创意策划及实施跟进；
2. 参与市场营销方案的策划，基于对产品运营阶段，对玩家需求洞察，结合产品卖点及玩法特性输出创意策划方案；并且根据用户与市场反馈，数据表现等项目成果，持续优化方案；
3. 长期并维护并培养创意类供应商资源，提升整体项目效率及品质。
",http://careers.tencent.com/jobdesc.html?postId=1440988744432754688
41310-PUBGM海外品牌经理（网红内容营销方向）,IEG,深圳,中国,营销与公关,"1. 负责游戏产品在全球市场的网红宣传及内容营销工作。分析目标市场用户对内容需求，制定KOL整体策略、方案以及内容运营方案；
2. 撬动全球网红、MCN、主流平台渠道资源，策划宣传方案并负责执行落地，确保活动目标与项目目标一致，最终对产品新增和活跃负责；
3. 探索并搭建海外游戏KOL生态体系，并不断挖掘高潜力KOL进行重点培育，并基于多项目的实践不断迭代优化。
4. 与合作团队、渠道伙伴、区域团队做密切的合作沟通，拓展内容分发渠道，发掘新兴推广手段等。
",http://careers.tencent.com/jobdesc.html?postId=1440988742008446976
14914-资深品牌信息经理（深圳）,CDG,深圳,中国,营销与公关,"负责品牌力与专业力层面的新媒体平台内容策划、撰写编辑及传播；
策划选题、编撰文章、发布内容、把控效果，拓展资源打造IP化自媒体。
",http://careers.tencent.com/jobdesc.html?postId=1364134299174969344
